GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Stark Database Migration,stark.migration,SelectPrivilege,107,0,18,0,2,0,23,0,14,0
Stark Database Migration,stark.migration,Mysql,23,0,0,0,0,0,7,0,7,0
Stark Database Migration,stark.migration,Check,120,8,18,0,1,2,25,1,16,1
Stark Database Migration,stark.migration,With.,89,196,8,8,10,30,9,23,3,21
Stark Database Migration,stark.migration,MigratorOperation,0,3,0,0,0,1,0,1,0,1
Stark Database Migration,stark.migration,CharacterSet,137,24,25,0,1,7,31,3,18,3
Stark Database Migration,stark.migration,MysqlUserFactory,4,0,0,0,0,0,1,0,1,0
Stark Database Migration,stark.migration,ColumnDefinition,511,1159,72,100,46,103,55,135,6,98
Stark Database Migration,stark.migration,Limit.,17,15,2,0,1,3,4,3,3,3
Stark Database Migration,stark.migration,OnUpdate.,27,0,2,0,1,0,7,0,6,0
Stark Database Migration,stark.migration,When.,27,0,2,0,1,0,7,0,6,0
Stark Database Migration,stark.migration,OnDelete.,27,0,2,0,1,0,7,0,6,0
Stark Database Migration,stark.migration,CasePreservingUnquotedNameConverter.,28,10,0,0,2,1,9,2,9,2
Stark Database Migration,stark.migration,SqlType,0,3,0,0,0,1,0,1,0,1
Stark Database Migration,stark.migration,CharType.,26,10,0,0,0,1,8,2,8,2
Stark Database Migration,stark.migration,DatabaseAdapter.TablePrivilegeTarget,98,16,21,1,0,1,21,2,10,2
Stark Database Migration,stark.migration,NoAction,26,0,0,0,0,0,8,0,8,0
Stark Database Migration,stark.migration,ForEachRow.,26,10,0,0,0,1,8,2,8,2
Stark Database Migration,stark.migration,AllPrivileges,23,0,0,0,0,0,7,0,7,0
Stark Database Migration,stark.migration,BooleanType,23,0,0,0,0,0,7,0,7,0
Stark Database Migration,stark.migration,ReferencesPrivilege.,41,10,2,0,2,1,11,2,10,2
Stark Database Migration,stark.migration,UpdateOf.,27,0,2,0,1,0,7,0,6,0
Stark Database Migration,stark.migration,VarbinaryType.,26,10,0,0,0,1,8,2,8,2
Stark Database Migration,stark.migration,DerbyAutoIncrementingColumnDefinitionMixin,19,0,2,0,3,0,3,0,2,0
Stark Database Migration,stark.migration,UserFactory,0,3,0,0,0,2,0,1,0,1
Stark Database Migration,stark.migration,Unicode.,26,10,0,0,1,1,8,2,8,2
Stark Database Migration,stark.migration,LowercaseUnquotedNameConverter.,29,10,0,0,2,1,9,2,9,2
Stark Database Migration,stark.migration,OracleIntegerColumnDefinition,5,0,0,0,2,0,2,0,2,0
Stark Database Migration,stark.migration,ClobType.,26,10,0,0,0,1,8,2,8,2
Stark Database Migration,stark.migration,MissingTriggerOptionException,4,0,0,0,2,0,1,0,1,0
Stark Database Migration,stark.migration,SchemaDumperSupport.Index.,39,0,4,0,1,0,6,0,4,0
Stark Database Migration,stark.migration,Restrict.,26,16,0,0,1,2,8,3,8,3
Stark Database Migration,stark.migration,DefaultVarbinaryColumnDefinition,0,7,0,0,0,2,0,2,0,2
Stark Database Migration,stark.migration,UpdatePrivilege.,51,0,2,0,3,0,13,0,12,0
Stark Database Migration,stark.migration,Before.,24,12,0,0,0,1,7,3,7,3
Stark Database Migration,stark.migration,H2DatabaseAdapter,31,341,3,21,2,59,4,26,1,17
Stark Database Migration,stark.migration,CommitUponReturnOrException,23,0,0,0,0,0,7,0,7,0
Stark Database Migration,stark.migration,RemoveAllMigrations.,26,10,0,0,1,1,8,2,8,2
Stark Database Migration,stark.migration,DefaultTimestampColumnDefinition,7,0,0,0,2,0,2,0,2,0
Stark Database Migration,stark.migration,RollbackMigration.,28,0,2,0,1,0,7,0,6,0
Stark Database Migration,stark.migration,Vendor.,11,111,3,19,2,25,3,12,0,4
Stark Database Migration,stark.migration,RichConnection.,0,13,0,0,0,3,0,3,0,3
Stark Database Migration,stark.migration,Delete,23,0,0,0,0,0,7,0,7,0
Stark Database Migration,stark.migration,CharacterSet.,23,19,2,0,0,4,4,4,3,4
Stark Database Migration,stark.migration,INSTEAD_OF.,26,10,0,0,0,1,8,2,8,2
Stark Database Migration,stark.migration,BooleanType.,26,10,0,0,0,1,8,2,8,2
Stark Database Migration,stark.migration,Scale.,28,0,2,0,1,0,7,0,6,0
Stark Database Migration,stark.migration,Migrator.InstallAndRemove.2.,35,0,4,0,1,0,6,0,4,0
Stark Database Migration,stark.migration,Nullable.,28,10,0,0,2,1,9,2,9,2
Stark Database Migration,stark.migration,DatabaseAdapter.TablePrivilegeTarget.,29,0,4,0,1,0,6,0,4,0
Stark Database Migration,stark.migration,TriggerPrivilege.,26,10,0,0,1,1,8,2,8,2
Stark Database Migration,stark.migration,BlobType,23,0,0,0,0,0,7,0,7,0
Stark Database Migration,stark.migration,MigrationArrowAssoc,22,20,0,0,1,3,1,2,1,2
Stark Database Migration,stark.migration,Migrator,411,1056,36,58,42,155,67,73,39,54
Stark Database Migration,stark.migration,ReferencesPrivilege,107,0,18,0,2,0,23,0,14,0
Stark Database Migration,stark.migration,SchemaDumperSupport.Column.,38,0,4,0,1,0,6,0,4,0
Stark Database Migration,stark.migration,RemoveAllMigrations,23,0,0,0,0,0,7,0,7,0
Stark Database Migration,stark.migration,DecimalType,23,0,0,0,0,0,7,0,7,0
Stark Database Migration,stark.migration,NamedCheck.,33,0,2,0,1,0,7,0,6,0
Stark Database Migration,stark.migration,DerbyBlobColumnDefinition,3,0,0,0,1,0,1,0,1,0
Stark Database Migration,stark.migration,On,0,17,0,0,0,4,0,3,0,3
Stark Database Migration,stark.migration,Precision,123,14,15,1,3,3,23,2,15,2
Stark Database Migration,stark.migration,Update.,24,12,0,0,0,1,7,3,7,3
Stark Database Migration,stark.migration,CasePreservingUnquotedNameConverter,27,0,0,0,0,0,8,0,8,0
Stark Database Migration,stark.migration,User,4,3,0,0,0,2,1,1,1,1
Stark Database Migration,stark.migration,INSTEAD_OF,23,0,0,0,0,0,7,0,7,0
Stark Database Migration,stark.migration,References,0,17,0,0,0,4,0,3,0,3
Stark Database Migration,stark.migration,Migrator.InstallAndRemove.new Product() {...},95,22,18,1,0,2,21,3,11,3
Stark Database Migration,stark.migration,DerbyIntegerColumnDefinition,8,0,0,0,2,0,2,0,2,0
Stark Database Migration,stark.migration,BigintType.,26,10,0,0,0,1,8,2,8,2
Stark Database Migration,stark.migration,UpdatePrivilege,107,0,18,0,2,0,23,0,14,0
Stark Database Migration,stark.migration,DuplicateMigrationDescriptionException,0,4,0,0,0,2,0,1,0,1
Stark Database Migration,stark.migration,Migration,753,1731,77,69,73,221,86,99,26,86
Stark Database Migration,stark.migration,DefaultVarcharColumnDefinition,0,7,0,0,0,2,0,2,0,2
Stark Database Migration,stark.migration,AutoIncrement.,28,10,0,0,2,1,9,2,9,2
Stark Database Migration,stark.migration,Referencing,115,0,18,0,1,0,25,0,16,0
Stark Database Migration,stark.migration,JavaDatabaseAdapter,35,0,0,0,0,0,10,0,10,0
Stark Database Migration,stark.migration,PostgresqlTextColumnDefinition,5,0,0,0,2,0,2,0,2,0
Stark Database Migration,stark.migration,IrreversibleMigrationException,4,0,0,0,1,0,1,0,1,0
Stark Database Migration,stark.migration,Down.,26,16,0,0,1,2,8,3,8,3
Stark Database Migration,stark.migration,UnsupportedColumnTypeException,4,0,0,0,2,0,1,0,1,0
Stark Database Migration,stark.migration,MysqlUser,38,0,0,0,9,0,3,0,3,0
Stark Database Migration,stark.migration,SchemaDumper.,138,0,0,0,22,0,11,0,11,0
Stark Database Migration,stark.migration,DefaultSmallintColumnDefinition,0,5,0,0,0,2,0,2,0,2
Stark Database Migration,stark.migration,Insert,23,0,0,0,0,0,7,0,7,0
Stark Database Migration,stark.migration,PostgresqlDatabaseAdapter,208,28,28,0,35,9,23,2,9,2
Stark Database Migration,stark.migration,UppercaseUnquotedNameConverter.,26,13,0,0,1,2,8,3,8,3
Stark Database Migration,stark.migration,TriggerPrivilege,23,0,0,0,0,0,7,0,7,0
Stark Database Migration,stark.migration,DerbyVarbinaryColumnDefinition,15,0,0,0,2,0,2,0,2,0
Stark Database Migration,stark.migration,AutoCommit,23,0,0,0,0,0,7,0,7,0
Stark Database Migration,stark.migration,MysqlIntegerColumnDefinition,8,0,0,0,2,0,2,0,2,0
Stark Database Migration,stark.migration,IntegerType,23,0,0,0,0,0,7,0,7,0
